map_id,pattern,match_type,house,signification_key,axis,direction,strength,min_n,exclusive_with,contrast_map_id,confound_note,doctrine_note,status
H5_CHILDLESS,family : parenting : kids none,exact_token,5,children,verdict,afflicted,core,100,H5_PROLIFIC|H5_KIDS13,H5_PROLIFIC,"voluntary childlessness / celibate clergy / era confound (decade strata); catalog under-reporting; NOTE Beeja/Kshetra-weak denial with a STRONG 5th is a Raman-sanctioned miss channel (HTJAH-I:5496-5527) — depresses achievable AUC","BPHS Putra-bhava: the 5th judges issue; denial of progeny = afflicted putra-sthana (BPHS Ch.18 putra; Raman HTJAH-I 5th-house progeny-denial combinations, e.g. HTJAH-I:5507ff). bphs-reviewer VALIDATED",locked
H5_PROLIFIC,family : parenting : kids more than 3,exact_token,5,children,verdict,favourable,core,100,H5_CHILDLESS,H5_CHILDLESS,"religious/era fertility norms (decade strata)","BPHS Putra-bhava: abundant progeny = fortified 5th/putra-karaka (BPHS Ch.18; Raman HTJAH-I 'many children' combinations)",locked
H8_LONGLIFE,personal : death : long life more than 80 yrs,exact_token,8,longevity,ayurdaya,favourable,core,100,H8_SHORTLIFE,H8_SHORTLIFE,"era-bias: long-lived people born earlier (round-hour records; decade strata); catalog survivorship","Purnayu = 75-120y per Raman's span classes (HTJAH-II:3092-3101); the >80y category sits inside it. Raman's numeric span methods (HTJAH-II:3947-4441 Pindayu/Amsayu) predict capacity — and HTJAH-II:3937-3943 MANDATES exactly this thousands-of-horoscopes test. bphs-reviewer VALIDATED",locked
H8_SHORTLIFE,personal : death : short life less than 29 yrs,exact_token,8,longevity,ayurdaya,afflicted,core,100,H8_LONGLIFE,H8_LONGLIFE,"includes violent/accidental early deaths where the maraka (not capacity) cuts the span — sensitivity split by death-manner; BALARISHTA EXCLUSION (bphs-reviewer REVISE): deaths under 12 are doctrinally OUTSIDE ayurdaya (HTJAH-II:3916-3923 parental-karma window) — persons with a known own-death age <12 are excluded in build_labels","Alpayu (<32y) per Ayurdaya doctrine (HTJAH-II:3947ff); a short realized span should correlate with low predicted capacity. bphs-reviewer VALIDATED-with-caveat (Balarishta filter applied)",locked
H12_PRISON,passions : criminal perpetrator : prison sentence,exact_token,12,incarceration,verdict,afflicted,core,100,,,"WEAKEST DESIGN: no labeled 'free' contrast exists — leans on the corpus control + off-target specificity matrix; criminality also implicates other houses","Bandhana (imprisonment) is a 12th-house matter (BPHS bandhana-yoga; Raman HTJAH-II 12th-house incarceration combinations, cf. engine H12 incarceration rules + catastrophic-severity gate lineage)",locked
H7_DIVORCED,family : relationship : number of divorces,exact_token,7,marital_happiness,verdict,afflicted,supporting,100,,H7_LONGMARRIAGE,"divorce legality/norms vary by era+country (decade strata); multiple marriages correlate with fame","Kalatra-bhava: broken union = afflicted 7th (BPHS Ch.20; Raman HTJAH-II separation combinations, cf. engine H7.C.82/83)",locked
H7_LONGMARRIAGE,family : relationship : marriage more than 15 yrs,exact_token,7,marital_happiness,verdict,favourable,supporting,100,,H7_DIVORCED,"long marriage is partly a longevity effect (both spouses must live); era norms","Kalatra-bhava: enduring union = clean/fortified 7th (Raman HTJAH-II:1207ff 'happy married life' combinations)",locked
H7_WIDOWED,family : relationship : widowed,exact_token,7,coverture,verdict,afflicted,supporting,100,,,"widowhood is the SPOUSE'S death — partly the spouse's chart; era wars/epidemics (decade strata)","Vaidhavya/coverture: death of the married partner reads on the 7th/8th-from-7th (Raman HTJAH-II:298-305; engine H7.C.84/85 lineage)",locked
H2_WEALTHY,lifestyle : financial : wealthy,exact_token,2,wealth,verdict,favourable,supporting,30,H2_BANKRUPT,H2_BANKRUPT,"fame-wealth correlation in a celebrity corpus (strata; interpret cautiously)","Dhana-bhava: accumulated wealth = fortified 2nd + dhana yogas (BPHS Ch.16; Raman HTJAH-I dhana combinations, 3HC dhana yogas)",locked
H2_BANKRUPT,lifestyle : financial : loss - bankruptcy,exact_token,2,wealth,verdict,afflicted,supporting,30,H2_WEALTHY,H2_WEALTHY,"small n=68; bankruptcy is era/jurisdiction dependent","Dhana-bhava: ruin of accumulated wealth = afflicted 2nd (Raman HTJAH-I 2nd-house loss combinations; engine Daridra-yoga lineage)",locked
H8_SUICIDE,personal : death : suicide,exact_token,8,death,verdict,afflicted,exploratory,30,,,"death-MANNER not span; overlaps mental-health confounds","Unnatural death manner reads on the afflicted 8th (Raman HTJAH-II combos 1-2 malefics-in-8th -> unnatural death; engine H8 death=AFFLICTION_MATTER lineage)",locked
H8_ACCIDENT,personal : death : accidental,exact_token,8,death,verdict,afflicted,exploratory,30,,,"death-MANNER not span","Accidental/violent death = afflicted 8th death-manner (same lineage as H8_SUICIDE)",locked
H5_KIDS13,family : parenting : kids 1-3,exact_token,5,children,verdict,favourable,rejected,,,,"POPULATION MODE — uninformative as a favourable case; used only inside the has-children contrast pool","REJECTED: 1-3 children is the base rate; no doctrinal claim distinguishes it",rejected
VOC_ACTOR,vocation : entertainment : actor/ actress,exact_token,10,career,verdict,favourable,rejected,,,,"SELECTION BIAS: presence in AstroDatabank is conditioned on career success — H10-favourable is the corpus base rate; usable as a STRATUM only","REJECTED: fame-selected corpus cannot test career favourability via vocation membership",rejected
FAMOUS_TOP5,notable : famous : top 5% of profession,exact_token,10,career,verdict,favourable,rejected,,,,"same selection bias as VOC_ACTOR","REJECTED: strata only, never an outcome",rejected
